,area_type,availability,location,bath,price,bhk,sqft
0,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,39.07,2,1056.0
2,Built-up  Area,Ready To Move,Uttarahalli,2,62.0,3,1440.0
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3,95.0,3,1521.0
4,Super built-up  Area,Ready To Move,Kothanur,2,51.0,2,1200.0
6,Super built-up  Area,Soon to be Vacated,Old Airport Road,4,204.0,4,2732.0
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4,600.0,4,3300.0
11,Plot  Area,Ready To Move,Whitefield,5,295.0,4,2785.0
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,38.0,2,1000.0
13,Built-up  Area,Ready To Move,Gottigere,2,40.0,2,1100.0
14,Plot  Area,Ready To Move,Sarjapur,3,148.0,3,2250.0
15,Super built-up  Area,Ready To Move,Mysore Road,2,73.5,2,1175.0
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3,48.0,3,1180.0
18,Super built-up  Area,Ready To Move,Other,4,290.0,3,2770.0
20,Built-up  Area,Ready To Move,Kengeri,1,15.0,1,600.0
21,Super built-up  Area,Soon to be Vacated,Binny Pete,3,122.0,3,1755.0
22,Plot  Area,Ready To Move,Thanisandra,5,380.0,4,2800.0
23,Super built-up  Area,Ready To Move,Bellandur,3,103.0,3,1767.0
24,Super built-up  Area,Soon to be Vacated,Thanisandra,1,25.25,1,510.0
27,Built-up  Area,Soon to be Vacated,Whitefield,3,81.0,3,1610.0
28,Super built-up  Area,Soon to be Vacated,Ramagondanahalli,2,48.77,2,1151.0
29,Super built-up  Area,Ready To Move,Electronic City,2,47.0,3,1025.0
30,Super built-up  Area,Soon to be Vacated,Yelahanka,4,186.0,4,2475.0
32,Super built-up  Area,Ready To Move,Hebbal,2,123.0,3,1760.0
34,Built-up  Area,Ready To Move,Kasturi Nagar,3,125.0,3,1925.0
37,Super built-up  Area,Ready To Move,Kundalahalli,3,125.0,3,1724.0
39,Built-up  Area,Ready To Move,Uttarahalli,2,45.0,2,1143.0
40,Built-up  Area,Ready To Move,Murugeshpalya,2,81.0,2,1296.0
42,Super built-up  Area,Ready To Move,Other,1,38.0,1,600.0
43,Plot  Area,Ready To Move,Yelahanka,1,48.0,1,660.0
44,Super built-up  Area,Soon to be Vacated,Kanakpura Road,2,91.79,2,1330.74
46,Super built-up  Area,Ready To Move,Doddathoguru,2,33.0,2,970.0
47,Super built-up  Area,Soon to be Vacated,Whitefield,2,94.82,2,1459.0
48,Plot  Area,Ready To Move,KR Puram,1,130.0,2,800.0
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,75.0,2,1185.0
55,Super built-up  Area,Ready To Move,Begur Road,2,44.0,2,1200.0
56,Built-up  Area,Soon to be Vacated,Devanahalli,4,192.0,4,3210.0
57,Super built-up  Area,Ready To Move,Other,2,185.0,2,1500.0
61,Super built-up  Area,Ready To Move,Other,2,55.0,2,845.0
63,Built-up  Area,Ready To Move,Varthur,2,44.0,2,1160.0
64,Built-up  Area,Ready To Move,Bommanahalli,8,140.0,8,3000.0
65,Super built-up  Area,Ready To Move,Doddathoguru,2,62.0,2,1100.0
66,Super built-up  Area,Soon to be Vacated,Gunjur,2,43.0,2,1140.0
67,Super built-up  Area,Ready To Move,Marathahalli,2,57.0,2,1220.0
71,Super built-up  Area,Soon to be Vacated,Begur Road,2,80.58,2,1358.0
72,Super built-up  Area,Ready To Move,Hegde Nagar,3,101.0,3,1569.0
73,Super built-up  Area,Soon to be Vacated,Haralur Road,2,70.0,2,1240.0
74,Super built-up  Area,Ready To Move,Hennur Road,3,140.0,3,2089.0
75,Super built-up  Area,Ready To Move,Kothannur,2,48.23,2,1206.0
76,Super built-up  Area,Ready To Move,Kalena Agrahara,2,40.0,2,1150.0
77,Built-up  Area,Ready To Move,Other,3,205.0,3,2511.0
79,Built-up  Area,Ready To Move,ISRO Layout,6,250.0,6,4400.0
80,Super built-up  Area,Ready To Move,Other,2,105.0,3,1660.0
81,Built-up  Area,Soon to be Vacated,Hennur Road,4,224.5,4,3203.5
82,Super built-up  Area,Soon to be Vacated,Yelahanka,2,78.0,2,1326.0
83,Super built-up  Area,Ready To Move,Garudachar Palya,2,60.8,3,1325.0
85,Built-up  Area,Ready To Move,Hegde Nagar,7,210.0,6,3000.0
87,Super built-up  Area,Soon to be Vacated,Dasanapura,2,37.0,2,708.0
88,Super built-up  Area,Ready To Move,Kasavanhalli,2,58.06,2,1060.0
90,Built-up  Area,Ready To Move,Sanjay nagar,2,70.0,2,1000.0
93,Plot  Area,Ready To Move,ISRO Layout,4,155.0,4,1200.0
94,Super built-up  Area,Soon to be Vacated,Thanisandra,2,80.0,2,1296.0
95,Super built-up  Area,Ready To Move,Domlur,3,90.0,3,1540.0
96,Plot  Area,Ready To Move,Kengeri,4,245.0,4,2894.0
97,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2,48.0,3,1330.0
99,Built-up  Area,Ready To Move,Other,3,90.0,3,1200.0
101,Built-up  Area,Ready To Move,Chandapura,1,17.0,2,650.0
102,Plot  Area,Ready To Move,Kothanur,2,150.0,3,2400.0
107,Built-up  Area,Ready To Move,Rajaji Nagar,3,229.0,3,1640.0
108,Built-up  Area,Ready To Move,Other,2,55.68,2,782.0
109,Super built-up  Area,Soon to be Vacated,Devanahalli,2,66.78,2,1260.0
110,Super built-up  Area,Ready To Move,Other,3,120.0,3,1800.0
114,Built-up  Area,Ready To Move,Ramamurthy Nagar,4,225.0,4,3700.0
115,Built-up  Area,Ready To Move,Sarjapur  Road,3,140.0,3,2497.0
117,Super built-up  Area,Soon to be Vacated,Thanisandra,3,74.75,3,1436.0
118,Super built-up  Area,Soon to be Vacated,Malleshwaram,2,75.0,2,1100.0
120,Super built-up  Area,Ready To Move,Thanisandra,3,120.0,3,1427.0
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3,200.0,3,2061.0
123,Built-up  Area,Ready To Move,Shampura,4,150.0,4,2650.0
124,Super built-up  Area,Soon to be Vacated,Devanahalli,2,68.52,3,1282.0
125,Built-up  Area,Ready To Move,Kadugodi,2,34.0,2,1050.0
128,Super built-up  Area,Ready To Move,Hormavu,2,78.0,2,1500.0
130,Built-up  Area,Ready To Move,Other,3,110.0,3,1870.0
131,Plot  Area,Ready To Move,Sarjapur,3,75.0,3,1600.0
133,Plot  Area,Ready To Move,Other,4,210.0,4,1200.0
134,Super built-up  Area,Ready To Move,Kudlu Gate,3,83.0,3,1535.0
135,Built-up  Area,Ready To Move,Kanakpura Road,2,57.0,2,950.0
137,Super built-up  Area,Soon to be Vacated,8th Phase JP Nagar,2,54.005,2,1073.5
138,Super built-up  Area,Soon to be Vacated,Bommasandra Industrial Area,3,50.4,3,1280.0
139,Super built-up  Area,Soon to be Vacated,Other,2,85.05,3,1260.0
140,Built-up  Area,Ready To Move,Hennur Road,8,250.0,8,5000.0
142,Super built-up  Area,Ready To Move,Kasavanhalli,3,105.0,3,1563.05
143,Super built-up  Area,Ready To Move,ISRO Layout,2,60.0,2,1000.0
144,Super built-up  Area,Soon to be Vacated,Anandapura,2,43.76,2,1167.0
145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,225.0,7,4000.0
146,Super built-up  Area,Ready To Move,Kothanur,3,110.0,3,1828.0
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,35.0,2,890.0
151,Super built-up  Area,Ready To Move,Kannamangala,2,58.0,2,957.0
153,Super built-up  Area,Ready To Move,Other,4,235.0,3,2795.0
154,Super built-up  Area,Ready To Move,Hulimavu,2,50.0,2,1125.0
155,Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,30.6,2,1020.0
156,Super built-up  Area,Ready To Move,Kalena Agrahara,2,50.0,2,1200.0
157,Super built-up  Area,Ready To Move,Thanisandra,3,135.0,3,1735.0
158,Super built-up  Area,Ready To Move,Thanisandra,3,145.0,3,2050.0
